 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês processamento
Período:Jan/2018-Mar/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";82060;78137;80678;91424;88055;83886;93792;87446;82405;85875;82973;69889;98423;86431;87561;86401;95574;85951;93532;91973;85715;85035;86211;86088;87412;88326;88219;73285;69680;67179;79723;79020;75690;80452;77121;75693;81053;72586;64114;3235068
"25 Paraíba";82331;78876;88168;87485;91282;90919;92368;92214;85223;85440;84749;79866;87276;79548;88474;86564;98065;88058;89752;90488;92597;86332;87370;80737;79057;81067;77668;66604;60298;68395;78231;80577;74299;78057;72660;68757;70141;82742;82239;3214974
"26 Pernambuco";248986;241100;259811;260462;274402;261233;269650;266496;259718;260575;247127;242328;259554;238330;262107;259433;275351;263623;268404;272650;264256;275856;267185;256885;264160;245539;246329;190086;189008;201272;229430;233215;228229;222591;242057;226979;239215;214663;227334;9655629
"27 Alagoas";74489;71369;70656;74924;73492;70035;76095;72118;72051;73653;68585;65346;69028;71229;76113;73433;74076;77470;79998;76105;74249;78304;75762;78274;77454;73166;74512;65236;56794;52800;58049;66987;63813;71146;74915;72366;70807;68895;70539;2784333
"28 Sergipe";43251;40141;40725;46971;48441;42730;49376;48829;43673;47713;44335;40940;47298;44704;42411;46772;48782;43020;45789;44393;47923;49227;44223;41695;46709;44110;42465;40392;38617;35415;38110;41376;39965;45028;45135;41492;41156;45915;41626;1710873
"29 Bahia";319489;307596;323610;330516;338210;322078;333830;339979;324950;336884;325531;297020;321322;282555;320827;332200;331309;322269;345386;355428;331087;322287;318224;309597;318091;308887;317389;269875;258933;253540;268921;268639;267406;285029;287562;292661;273101;268478;299068;12029764
"31 Minas Gerais";516960;490509;533778;534974;541701;547517;553916;547279;536576;534373;514046;508864;539678;517047;538435;546168;577781;542606;569275;563249;534955;556483;516253;516195;543262;510333;495390;434385;428046;422321;470897;471299;477074;478042;482401;472699;468033;463700;495934;19992434
"32 Espírito Santo";109989;95112;95532;101791;107610;100614;99067;101714;94676;102455;88870;93784;99934;90167;92520;91046;101990;95200;108831;105895;100952;106658;93116;105508;104757;96867;98675;93887;94779;82852;90052;88096;93553;94900;94376;96323;106812;101216;107890;3828066
"33 Rio de Janeiro";434705;415689;445792;444325;453975;454184;481919;452446;443295;446999;428662;387438;457925;410270;433333;422686;476505;444611;470452;467646;446740;461265;438992;419582;444208;404182;399682;355679;388442;388523;412517;403029;394110;399949;397372;405983;398301;353766;390538;16575717
"35 São Paulo";1156411;1094120;1164944;1171452;1186537;1166929;1192725;1183251;1131315;1173208;1120475;1117191;1185006;1087759;1159713;1185541;1214359;1150877;1199085;1215982;1158811;1196970;1123857;1106989;1169263;1104709;1153240;954282;968247;1016513;1115922;1081949;1078993;1090592;1078230;1057160;1113879;1078241;1144280;44049007
"41 Paraná";321523;296129;310853;321244;325474;325995;336596;334521;328474;329233;324449;310115;320396;306517;312093;310831;323602;317317;321362;320387;318879;320153;311886;301125;309859;319853;302676;257104;284150;246614;262060;274045;274476;289816;288638;277096;291884;304154;312875;11944454
"42 Santa Catarina";168646;175403;191447;193997;199623;202366;200894;205463;194319;194712;184704;175483;188448;180457;179142;188264;198009;198283;207237;199454;197023;202258;186863;179952;171712;188944;183105;155131;147376;150915;157647;157110;163238;164321;168925;167322;175017;176254;196673;7116137
"43 Rio Grande do Sul";362394;341089;368417;374623;378660;381234;395062;404357;400650;395581;379386;365798;367943;358810;365504;380488;392811;388830;416633;414816;399516;417066;373279;366090;381953;363634;374860;314873;299775;302464;327370;323443;325490;366630;353108;347349;346399;336981;370364;14323730
"50 Mato Grosso do Sul";66075;69328;63341;64229;69105;71605;68662;65443;66883;61707;62401;62002;66114;66906;65822;70647;67346;70248;73667;72162;71889;68509;63895;66664;68447;68295;69500;65663;61923;60034;59554;60836;60106;58445;61440;56097;61446;68000;64317;2558753
"51 Mato Grosso";75380;68021;75386;73605;75201;72994;76040;69747;72514;74282;69581;67598;67010;69564;75143;73327;78355;74068;75974;78849;75122;76422;73819;69965;67447;70444;65617;54510;57640;55502;58039;61818;62331;70151;63723;62559;65159;62659;60101;2695667
"52 Goiás";129388;120660;131802;125777;130613;130687;130266;131985;133081;133979;127060;131441;133000;125843;139505;136144;139872;137609;141157;144638;141333;144289;136098;137872;137497;130844;136108;117403;121319;117869;123496;135515;130636;134963;126413;133425;134402;123664;115315;5132968
"53 Distrito Federal";96141;112234;109738;113415;114229;120405;128478;135619;103233;100317;93070;81944;118444;104719;124930;111462;116311;109260;117029;125787;97078;95406;100739;102947;116418;108552;122547;105199;81588;85554;87655;89297;82267;94131;90763;100489;101259;98985;122069;4119708
"Total";5141488;4925746;5236604;5305641;5392075;5335120;5468004;5447813;5239991;5323783;5106280;4937129;5326396;4970433;5262935;5304465;5555163;5315884;5535233;5561369;5366061;5466730;5192482;5111330;5288330;5088547;5110846;4324058;4322046;4359006;4698466;4725745;4681252;4838526;4787432;4707140;4819964;4689402;4935362;198204277
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
