 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Período:Jan/2018-Mar/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";19130570,55;17631343,47;19842834,93;20774806,62;20789038,18;20137699,72;21652391,73;21629797,35;20189873,01;21332372,73;20581258,13;17227874,04;22503704,70;20181547,44;23086510,42;21820682,35;23588813,89;21530220,97;22229779,85;23120838,46;22455827,10;22263163,66;22922628,16;20949027,15;23101224,38;21644473,35;22438442,72;18744943,81;19454054,00;21476468,96;26337808,77;27579658,62;27721340,38;26048003,33;24737052,09;23846816,35;28044464,51;26317613,74;23306498,68;868371468,30
"25 Paraíba";16968876,36;17091922,12;17680495,15;18379177,97;18568272,05;18934577,55;19279685,95;19011606,67;18070790,31;18497122,25;18359742,42;17425267,96;18701777,09;18280230,48;19178379,93;18839657,83;21061830,25;19447508,70;19665224,24;20397259,96;19639745,97;19326032,30;19450907,04;18246437,76;17227838,00;17591547,33;17844195,52;16273867,55;14997248,91;17441299,56;27294311,05;23288213,79;19480481,07;19988426,94;18418075,59;18099514,43;19524543,63;21302722,77;25750897,89;745025712,34
"26 Pernambuco";64529749,62;59258351,04;67792662,95;66491472,88;71014021,26;68679138,11;70741826,35;70554341,99;66806054,81;67067611,96;64375684,10;63347814,94;66767187,21;63012036,07;65485622,52;65026872,36;71675203,64;68052177,03;71002753,56;70105175,96;69751772,00;73233805,15;69916288,52;65707740,38;70161441,76;64822616,22;66221727,51;49241430,42;58988241,41;64301576,28;74914677,43;77232881,01;71715677,42;66555628,25;78904176,21;70978052,15;83846222,44;75562664,69;83870992,73;2677713370,34
"27 Alagoas";16127151,16;16062136,29;15913321,52;16901210,99;17026428,59;16339905,36;17908975,59;16793811,48;18119580,37;17126145,58;16925355,78;15765092,87;15858616,49;17064476,64;17027823,71;16458514,97;17039962,66;17802731,50;18399929,39;16915520,06;16913798,57;17740071,36;16610757,56;16954486,35;16913209,84;15857344,98;16014260,42;15057213,01;14411431,27;15406872,52;18453860,49;19995280,39;18185986,17;18871513,02;18597375,56;17805273,37;17543184,88;18526929,38;22118639,05;669554179,19
"28 Sergipe";8077634,45;7374349,70;8375279,36;9020646,60;9710691,40;8025780,50;9766114,15;10198444,73;9121714,70;10097590,01;9139082,28;8405178,91;9870763,46;9577713,59;9745805,83;10183910,27;11014405,78;9397452,52;9931458,04;9628184,03;10011078,87;10464026,39;9199453,13;8463411,72;9691241,43;9325631,63;8093465,51;8589154,91;8026929,31;8057935,10;10313262,56;11404646,48;10741986,60;12278300,58;12264609,05;11454427,82;12060864,70;13003816,54;13321494,41;383427937,05
"29 Bahia";68048653,42;64475039,37;67301935,64;70138190,99;72015638,15;68213323,07;73412542,78;74505873,73;71525882,45;74899242,26;73898802,66;67083996,92;69943903,44;63037987,20;70631313,03;75656871,01;74930902,09;72311955,53;78145958,78;79465336,35;75612489,42;75333078,55;73597019,20;71008578,90;72991644,23;70076183,91;73156459,75;62673156,89;64075440,82;69686505,66;84204991,86;83478081,57;80540324,01;81250834,02;86257814,00;85871122,17;79961693,17;81992571,15;98746333,07;2900157671,22
"31 Minas Gerais";143158486,97;136705143,41;149829968,56;149894503,75;151546897,83;151514201,61;156680218,93;154281495,01;153867888,29;151228318,67;144867656,44;146715346,61;154066649,81;147968852,80;153459790,69;156777495,40;162963014,15;154830086,49;166207471,07;164287071,70;156567882,88;165120780,19;153006371,54;153901643,72;159280453,89;150237121,46;142897333,08;133416702,94;133514800,21;139943759,22;165759955,94;171048093,95;175439696,53;178279152,74;175253226,91;172509435,62;174722161,98;177270694,34;200471045,07;6129490870,40
"32 Espírito Santo";26870384,24;24762482,38;23992070,32;25580754,91;27047091,49;24431385,84;25130378,43;26009340,50;24685731,90;26243877,36;24170075,47;24502056,39;25005409,89;24433360,41;24489441,43;23966073,21;27678894,71;26257287,18;29321032,62;28080023,93;27494948,06;28981301,17;26652123,01;27587727,37;28057063,29;26361545,85;26637385,72;25322623,29;28976583,86;29041781,10;33474963,98;32364742,01;38569356,14;35748380,19;32030401,25;33674687,78;39642483,39;40243896,20;45490499,45;1119009645,72
"33 Rio de Janeiro";72530675,81;70910964,45;75601732,47;75998173,43;78033245,14;77683410,80;83733892,75;80453782,86;77382979,88;79404597,67;75075912,42;71286431,83;80140801,94;73535570,78;76151310,63;75853453,40;86637168,69;80125747,75;89924590,66;85720860,09;82971188,30;86392490,58;80843671,61;78579849,30;83186258,72;76116203,22;77004637,47;71404623,67;85123662,73;91735358,99;99331352,01;96339615,99;88305239,94;86995649,35;86776500,97;90416725,95;94179674,42;85583557,95;106837295,81;3214308860,43
"35 São Paulo";279203782,81;269524844,81;286775733,92;289711791,16;293104281,74;287922148,67;291524922,05;298702204,56;282739086,76;295671659,07;283947815,42;283179040,80;298180056,65;279427204,24;288819396,39;297834670,24;303889049,22;293587709,50;305033842,80;313868712,55;298547868,27;310847061,00;292851698,72;284749770,52;304511719,34;288872273,89;297359679,70;251331659,00;272493373,35;306768344,30;367648996,72;349900969,68;354117254,42;345733068,79;335084865,66;330489045,98;355149525,60;348827130,99;392946147,42;11910878406,71
"41 Paraná";118799559,86;110307818,83;116630188,99;120061032,48;121360733,68;122174618,88;124610255,04;127874482,35;123933024,51;125316844,05;125317336,68;117528767,93;122460918,04;119836506,38;123286810,02;120177202,18;126481772,97;125528571,51;125978907,59;126174536,45;126966338,94;131587683,74;127099316,24;117905826,73;122357489,56;127010218,52;117317015,92;94604541,30;107506194,76;96981983,22;109720663,59;129529222,48;122702263,26;129647873,97;126859051,02;120037066,76;122122779,12;132622112,72;140264608,52;4746682138,79
"42 Santa Catarina";53712418,95;51298668,32;58770698,10;60288827,83;60659252,20;62213666,20;61278050,72;62730906,87;61636890,45;63327187,97;59766664,18;55708713,29;58896965,31;57420491,79;58250110,95;61028085,60;64937709,40;63504945,54;66591656,76;68439538,79;67131286,74;67946962,52;62694674,96;62400948,72;60255326,83;63695794,11;61835940,53;51632371,91;55188294,77;57897436,61;61267297,89;65467585,93;71781494,82;69414431,71;68460616,55;70333079,37;71970474,56;74337524,03;81376630,57;2455549622,35
"43 Rio Grande do Sul";88817066,36;80572288,45;87419899,25;89396935,52;88148251,61;90754504,49;89093690,14;94010888,97;93664724,68;90025945,36;93081292,31;89050712,34;89664703,23;89259306,50;85585754,75;95152786,47;94163838,23;92237333,46;102298314,76;100260145,30;95917106,56;102331615,05;93971904,79;90775418,13;94908336,74;91437940,91;102876132,83;83000318,02;82381774,95;86092502,24;100579287,65;102609965,59;104401019,54;117458292,46;108853890,98;111760506,80;119992419,94;111797400,70;130155185,16;3753959401,22
"50 Mato Grosso do Sul";16320629,25;18448053,83;16620321,36;16682027,02;17555832,83;17357780,20;17090876,79;16468255,95;17395858,50;16259261,13;16390075,24;15350893,92;17108719,02;17713810,57;16882690,96;18253870,27;17778458,45;18387822,48;19870933,20;18913862,69;19591383,84;18935437,09;17230688,81;17895244,76;18115134,64;19542439,88;19032785,73;17410262,53;17913161,92;17363192,43;18858844,44;19877080,68;19247894,51;19497210,85;22023126,25;19629591,55;21693311,15;24337295,63;25168195,34;720212315,69
"51 Mato Grosso";17253950,09;14789801,16;17498946,87;16279852,74;16103988,77;15883977,51;17163673,03;15569285,17;15630276,46;15838064,68;14815961,13;13853034,99;14229113,36;15288698,79;16045499,92;15890208,95;16092716,67;16699780,69;16314811,22;16763581,32;15608982,84;15855641,23;15823328,54;15032737,51;15259436,50;15066106,66;14906973,08;12563655,61;13632848,78;13215428,53;16834650,98;19704915,36;20746227,60;22727405,20;20506039,58;19583803,46;19120141,68;18349376,92;19611032,61;642153956,19
"52 Goiás";32756500,63;29752825,71;35353238,97;33126994,54;33321916,56;35536937,30;35009953,87;33899286,36;33936535,21;34482719,13;33695646,06;36347762,27;35162665,51;33658226,73;36733253,84;36260374,54;38159986,89;37236918,46;37769227,09;37979735,24;37470767,39;37337272,34;35734855,79;34879373,70;35794874,64;35048141,29;34843938,16;30932236,73;34406945,17;36101619,85;40606222,82;46229357,10;44889588,33;45529496,23;43037600,45;44147353,21;46127763,88;42742773,93;45592686,49;1451633572,41
"53 Distrito Federal";17127571,95;18222787,66;20340897,78;20522181,19;20343407,23;21542121,59;22301468,16;23318726,05;20307075,79;18600258,14;16518323,98;13970506,60;20192152,35;18496333,16;22191795,70;18562231,92;20360779,48;20187082,38;22216154,63;23309181,24;17870194,68;17859596,85;19851940,18;18769437,77;22341629,09;20643441,06;22947163,99;21536505,16;19058243,91;22704335,27;25269773,34;26526196,39;20056592,11;20856249,30;20459325,27;22991567,76;23527050,29;22766952,62;31831917,45;816499149,47
"Total";1218528578,16;1160580637,71;1249570771,57;1265569345,19;1279917419,73;1272860439,09;1301522302,13;1316621937,02;1272529253,15;1295988511,56;1254250943,37;1218448068,38;1288274303,46;1226614760,98;1274394154,87;1300440623,42;1357406940,64;1308302989,52;1373192361,38;1379322215,44;1336776339,89;1381449232,32;1314031159,05;1275845411,92;1327814227,56;1286460084,94;1286247393,68;1108698195,21;1195978013,75;1287808287,60;1484010417,62;1514160823,72;1477904466,14;1489983146,21;1464196395,75;1441199605,05;1513991196,49;1500612299,36;1687562138,38;51989065391,41
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
