 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2018-Mar/2021
"Unidade da Federação";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";13113;12871;14246;15363;15751;14586;15444;14917;14562;14463;14480;12571;14768;14121;15326;14893;16657;15351;15815;16478;15204;15080;14903;14378;14851;14853;14584;12468;11958;12712;13575;13752;13736;14742;14084;12900;14414;12493;11183;557646
"25 Paraíba";14188;13753;15614;15569;16364;15653;16113;16558;15125;15186;14915;14273;14820;13987;15706;15616;17292;15994;16372;16390;16214;15511;15536;14808;13878;14020;13882;11525;11266;12276;13304;13633;13269;13658;13416;12364;12870;13691;13077;567686
"26 Pernambuco";44387;42095;47835;47612;49833;47745;47708;48823;46265;47700;45758;43465;45885;43886;46859;48739;51072;48590;50198;50151;48414;50349;48685;46229;47887;43808;44264;32493;33544;35964;41522;41433;40728;41202;42663;40396;41273;38891;40882;1745233
"27 Alagoas";13855;13704;14252;14713;15118;13959;14975;14484;14857;14762;14205;13443;13509;13327;13851;13820;14553;14794;15465;14874;14573;14989;14274;13631;14031;12991;13395;11327;9794;8974;10855;12098;11795;13039;13527;13206;12257;13475;12803;527554
"28 Sergipe";7412;6987;7280;7993;8389;7925;8572;8557;8014;8503;7518;7109;7888;7229;7294;8329;8944;7817;8032;7835;7857;7982;8005;7143;8183;7962;7965;6639;6387;5981;6638;7082;6822;7676;7833;6941;7475;8069;7708;297975
"29 Bahia";66969;61818;66504;70190;70984;67633;70644;71435;69110;71748;69032;63120;66492;63225;68055;71040;73056;70093;74281;75517;72442;72753;69743;65872;66185;64972;65715;54100;51701;51139;54247;54967;56366;61241;60955;59114;55463;54972;58199;2531092
"31 Minas Gerais";99108;94610;105344;105513;105513;104455;106719;105993;104207;104381;100308;100591;102961;101140;105009;108390;114829;107579;112079;110444;106238;110323;103008;101580;106343;100741;96006;82408;84302;82822;89609;90306;92662;95140;94602;91661;90748;90551;93083;3901306
"32 Espírito Santo";21094;19802;19599;21100;21471;20343;20408;20517;19575;20143;19328;18887;19382;19010;19289;19520;20534;20038;22164;21816;21348;21970;20118;21112;21505;20213;20550;18792;18685;16484;17393;16882;17759;18806;19089;19233;19687;18851;20065;772562
"33 Rio de Janeiro";56146;52429;58584;60348;61332;59984;62421;61022;58775;59387;57284;52664;60470;56642;57486;58096;64714;61067;64299;64627;62705;63322;60465;56886;60098;55735;54244;46540;51363;51922;56539;56125;56059;56738;55323;56003;56574;51919;58362;2254699
"35 São Paulo";198912;192503;211205;210204;212696;205117;207804;212547;203113;212083;201634;197493;205741;197814;211776;215876;221498;210518;215641;221298;211684;220411;206022;198920;210257;199907;202819;152829;157924;166893;181563;179353;185941;190986;190114;183014;190050;184880;185488;7764528
"41 Paraná";71083;67857;71795;73214;73085;72760;74451;74103;73357;74028;74335;69396;72424;70915;72807;72330;75849;73282;75158;73834;74501;74980;74003;69531;72379;73852;67487;55136;59843;51876;55264;58442;59155;63596;62995;56858;58777;63223;59861;2667822
"42 Santa Catarina";35849;37721;41757;41428;41710;42888;42849;43170;41185;41816;39606;38206;40755;38940;39919;41215;44436;42921;45213;44708;44074;45214;42794;40567;39972;41665;39419;31493;31181;32801;32084;32390;34272;35430;36663;35266;36345;35925;35620;1529467
"43 Rio Grande do Sul";60163;56474;61995;62533;62498;62037;64053;64525;63580;62715;61241;59573;59533;59283;60253;62291;65673;65334;68165;68263;65798;68534;62678;61288;63760;61605;63508;50991;50177;50998;53202;52509;52539;59214;57284;55811;56731;54143;54463;2345415
"50 Mato Grosso do Sul";13480;14282;13502;13927;14360;14969;14634;13642;14179;13788;13695;13117;14192;14263;13738;15213;15039;15049;15751;15505;15057;15188;14073;14234;14709;15080;15059;13199;12779;12150;12377;12149;11795;11682;12353;11297;12114;12987;12597;537204
"51 Mato Grosso";16002;14645;16674;16113;16591;16184;16499;15367;16147;15868;15175;14846;14849;14785;16476;16261;17262;16278;16422;17444;16358;17215;16051;15752;15222;15545;15000;12819;13320;12219;12943;14011;13774;15014;13667;13776;14266;13371;12039;592250
"52 Goiás";27422;25698;27890;27058;28492;27290;27002;27281;27826;27313;26394;26844;27096;26207;27783;28604;29738;28923;29715;29813;29175;29984;28449;27449;27430;26997;27242;22536;23196;22667;24211;26023;25280;26490;25141;25299;25570;22514;21516;1041558
"53 Distrito Federal";15604;16420;17820;18192;18943;19990;20646;20828;18002;16142;15461;13892;18401;18473;21607;19459;20326;18765;19976;21838;17908;18218;16924;17719;20213;19218;21460;18769;16481;16610;16360;16438;15747;17162;16379;17706;19145;17669;20365;711276
"Total";953217;914059;994222;1006271;1018405;997341;1014144;1020329;989064;1007504;968737;933348;981163;947852;997216;1016479;1064017;1017673;1050891;1057626;1029394;1052862;999315;967238;1000995;967287;956433;775274;786478;791394;847569;858158;865916;906970;894521;862227;878586;856293;856749;37103217
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
